title,image,description
Raymond Poulidor : « Je me demande si un jour le cyclisme va redevenir sérieux »,https://img.lemde.fr/2019/10/17/193/0/1609/1071/110/74/60/0/c6d71c0_HUR_a41Q__BhwAqAZWwGVNdi.jpg,"Celui qui a été à plusieurs reprises à deux doigts de remporter le Tour de France et a gagné à jamais le cœur des Français est mort le 13 novembre, à l’âge de 83 ans. En 2004, il publiait ses Mémoires, « Poulidor par Raymond Poulidor ». Extrait."
"Raymond Poulidor, pas qu’un éternel second",https://img.lemde.fr/2019/11/13/682/1093/3002/2001/110/74/60/0/33a7a47_mHlu5llnzmlQL974XOVtqB0J.jpg,"Le champion cycliste, mort mercredi à 83 ans, avait un palmarès fourni : un grand tour (la Vuelta), des épreuves d’une semaine (Paris-Nice, Critérium du Dauphiné), des « classiques » d’un jour (Milan-San Remo, Flèche Wallonne)."
L’ancien champion cycliste Raymond Poulidor est mort,https://img.lemde.fr/2019/10/14/329/12/1509/1005/110/74/60/0/8ff576a_b-caWTVia533ycASNpJtk5aN.jpg,"L’« éternel second » du Tour de France est mort à l’âge de 83 ans. Coureur très doué, excellent grimpeur, il avait su gagner le cœur des Français face à son adversaire de toujours, Jacques Anquetil."
"« Jacky le Mat », ancienne figure de la pègre marseillaise, est mort à 89 ans",https://img.lemde.fr/2019/11/12/136/0/2188/1457/110/74/60/0/b16318e_5019774-01-06.jpg,"Souvent cité dans des affaires, il n’avait que rarement été devant la justice. En 2008, à 78 ans, il avait été condamné à deux ans de prison ferme par la cour d’appel d’Aix-en-Provence pour un délit d’extorsion de fonds."
"La mort d’Ernest Gaines, écrivain américain",https://img.lemde.fr/2019/11/11/19/0/3000/2000/110/74/60/0/5b11ab8_diERNywxSdDMVYtSRD3SrT2T.jpg,"Surnommé le « Faulkner noir », le romancier décrivait comme nulle autre le Sud d’avant le combat pour les droits civiques. Il est mort, dans sa ville natale de Louisiane, à l’âge de 86 ans."
"Mort de Robert Freeman, photographe emblématique des Beatles",https://img.lemde.fr/2018/07/19/164/0/3000/2000/110/74/60/0/6ee0b94_5bd22fe140ef446db57ce7e8a6381804-5bd22fe140ef446db57ce7e8a6381804-0.jpg,"Agé de 82 ans, il a notamment réalisé la pochette de « With the Beatles », deuxième album du groupe de rock britannique, et celle de « Rubber Soul »."
Témoignage : « La vie de Lucette Destouches fut un roman »,https://img.lemde.fr/2019/11/08/627/687/2964/1976/110/74/60/0/d40916f__-cP6CVM3LNaXlcjWAnGtWZB.jpg,"Véronique Robert-Chovin rend hommage à son amie Lucette Destouches, morte dans la nuit de jeudi à vendredi, à l’âge de 107 ans, à travers ce texte qui parcourt près de cinquante années d’amitiés."
"Lucette Destouches, veuve de Céline, est morte",https://img.lemde.fr/2019/11/08/437/0/4961/3296/110/74/60/0/d40916f__-cP6CVM3LNaXlcjWAnGtWZB.jpg,"Elle était la veuve la plus célèbre de la scène littéraire française. Près de soixante ans après l’écrivain Louis-Ferdinand Céline, qu’elle avait épousé en 1943, la danseuse Lucette Destouches est morte à l’âge de 107 ans."
"Mort de Gilles Bertin, braqueur repenti et punk des années 1980",https://img.lemde.fr/2018/06/06/240/825/2624/1749/110/74/60/0/698430c_5700558-01-06.jpg,"L’ancien musicien, condamné en 2018 à cinq ans de prison avec sursis pour le braquage d’une banque en 1988, est mort à Barcelone, à l’âge de 58 ans."
"La mort du professeur Louis Lareng, fondateur du SAMU",https://img.lemde.fr/2019/11/05/0/0/4500/3000/110/74/60/0/3807ecd_77-lxBWLV7vYxC_wOMMEJNiP.jpg,"En 1968, l’anesthésiste-réanimateur crée le premier service d’aide médicale d’urgence à Toulouse avant d’obtenir son extension à l’ensemble du territoire. Il sera aussi le promoteur infatigable de la télémédecine. Il est mort le 3 novembre, à l’âge de 96 ans."
"La mort d’Yvette Lundy, figure de la Résistance et déportée",https://img.lemde.fr/2019/11/05/0/0/3888/2592/110/74/60/0/57464b9_IL5O7P5x9f-KF3ttcXLVffy_.jpg,"Engagée dans la confection de faux papiers dès le début de l’Occupation, elle avait intégré un réseau en 1943 avant d’être déportée. Cette femme au courage exceptionnel, qui témoignera inlassablement de son expérience, est morte le 3 novembre, à l’âge de 103 ans."
"Bernard Féron, ancien journaliste au « Monde », est mort",https://img.lemde.fr/2019/11/05/0/16/3609/2406/110/74/60/0/20f0d84_CbVa686NcPxL61fiTG8xCC5z.jpg,"Rédacteur au service étranger, spécialiste de l’Union soviétique et des pays de l’Est auxquels il a consacré plusieurs ouvrages, Bernard Féron était entré au quotidien du soir en 1956. Il est mort le 25 octobre, à l’âge de 95 ans."
L’actrice et chanteuse populaire Marie Laforêt est morte,https://img.lemde.fr/2019/11/04/0/0/3519/2346/110/74/60/0/04286be_ybnT-Yv3sC2PBkiO_TnkOacs.jpg,"La comédienne, présente dans une quarantaine de films, est morte samedi à l’âge de 80 ans."
"Yvette Lundy, figure de la Résistance, est morte",https://img.lemde.fr/2019/11/03/246/2849/2334/1556/110/74/60/0/dff191a_5965804-01-06.jpg,"Ancienne déportée, elle s’était engagée dès 1959 pour témoigner de l’horreur du système concentrationnaire nazi auprès de collégiens et de lycéens."
"Louis Lareng, le fondateur du SAMU, est mort",https://img.lemde.fr/2019/11/03/0/0/4500/3000/110/74/60/0/8d7f914_5965189-01-06.jpg,"Professeur de médecine, il est à l’origine de la création du SAMU, en 1968, au sein des hôpitaux de Toulouse, puis de la loi qui étendra le SAMU à tous les départements français avec un numéro unique et gratuit, en 1986."
Les 6 chansons qui ont marqué la carrière de Marie Laforêt,https://img.lemde.fr/2019/11/03/703/768/5001/3334/110/74/60/0/4a95bb1_5964167-01-06.jpg,"La chanteuse, morte samedi à l’âge de 80 ans, a vendu plus de 35 millions d’albums en trente ans de carrière."
"Marie Laforêt, la « Fille aux yeux d’or », est morte",https://img.lemde.fr/2019/11/04/0/12/6201/4134/110/74/60/0/5fc9758_i6kkHXpRMIH6uc2I5Lzx46ql.jpg,"La comédienne et chanteuse, qui était âgée de 80 ans, est morte samedi à Genolier, en Suisse, a annoncé sa famille."
"Robert Evans, producteur de « Rosemary’s Baby » et du « Parrain », est mort",https://img.lemde.fr/2019/10/31/11/0/3510/2340/110/74/60/0/34adbf9_njEaOmByaAtEyHG1XpLcHsju.jpg,"Personnage légendaire de Los Angeles, il a produit des films emblématiques du Nouvel Hollywood (« Love Story », « Chinatown », « Marathon Man »…). Il s’est éteint le 26 octobre, à l’âge de 89 ans."
"Sadako Ogata, ancienne haut-commissaire de l’ONU pour les réfugiés, est morte",https://img.lemde.fr/2019/10/30/34/137/1910/1273/110/74/60/0/21808d8_gze6bpc-1emvGfiE_9h4FwLk.jpg,"La diplomate japonaise a dirigé l’institution onusienne de 1991 à 2000. Elle a géré plusieurs crises humanitaires majeures en ex-Yougoslavie, au Rwanda ou encore l’exode vers l’Iran et la Turquie de 2,2 millions de Kurdes d’Irak. Elle est morte le 22 octobre, à l’âge de 92 ans."
Quatre petits cadeaux pour prolonger la vie des appareils électroniques,https://img.lemde.fr/2019/12/13/500/0/1500/1000/110/74/60/0/759ea1e_rCfjWMKAxvi92GvXR_E73UZX.jpg,"Smartphones, PC, tablettes, télévisions, chaînes hi-fi… Des accessoires vendus entre 20 euros et 50 euros permettent de donner un coup de jeune à des appareils qui commencent à montrer leurs limites."
"« Star Wars » : « La première fois que j’ai dû enfiler le costume de C-3PO, il m’a fallu deux heures »",https://img.lemde.fr/2019/12/14/0/0/5568/3712/110/74/60/0/ce3f5a9_5219574-01-06.jpg,"Anthony Daniels a incarné le célèbre robot doré dans les neuf films de la saga, dont le dernier épisode sort mercredi."
« Star Wars : l’ascension de Skywalker » : dernières feuilles de l’arbre généalogique galactique,https://img.lemde.fr/2019/12/18/0/801/2571/1715/110/74/60/0/2293e4e_xP6cH7bT6Z9xsLeZwPd2cNGI.jpg,"Copiant les situations et les formes des précédents épisodes, le dernier volet de la troisième trilogie, très orthodoxe, rassurera les fans."
